"sysdate","variable","municipio","value"
2022-01-08,"regular","Tlajomulco de Zúñiga",20.7330303030303
2022-01-09,"regular","Tlajomulco de Zúñiga",20.725
2022-01-10,"regular","Tlajomulco de Zúñiga",20.725
2022-01-11,"regular","Tlajomulco de Zúñiga",20.7128787878788
2022-01-12,"regular","Tlajomulco de Zúñiga",20.7272727272727
2022-01-13,"regular","Tlajomulco de Zúñiga",20.7092424242424
2022-01-14,"regular","Tlajomulco de Zúñiga",20.7124242424242
2022-01-15,"regular","Tlajomulco de Zúñiga",20.7092424242424
2022-01-16,"regular","Tlajomulco de Zúñiga",20.7372727272727
2022-01-17,"regular","Tlajomulco de Zúñiga",20.7372727272727
2022-01-18,"regular","Tlajomulco de Zúñiga",20.7418181818182
2022-01-19,"regular","Tlajomulco de Zúñiga",20.7542424242424
2022-01-20,"regular","Tlajomulco de Zúñiga",20.7542424242424
2022-01-21,"regular","Tlajomulco de Zúñiga",20.7706060606061
2022-01-22,"regular","Tlajomulco de Zúñiga",20.73
2022-01-23,"regular","Tlajomulco de Zúñiga",20.7478787878788
2022-01-24,"regular","Tlajomulco de Zúñiga",20.7480303030303
2022-01-25,"regular","Tlajomulco de Zúñiga",20.7495454545455
2022-01-26,"regular","Tlajomulco de Zúñiga",20.7660606060606
2022-01-27,"regular","Tlajomulco de Zúñiga",20.7789393939394
2022-01-28,"regular","Tlajomulco de Zúñiga",20.7801515151515
2022-01-29,"regular","Tlajomulco de Zúñiga",20.7775757575758
2022-01-30,"regular","Tlajomulco de Zúñiga",20.7863636363636
2022-01-31,"regular","Tlajomulco de Zúñiga",20.7863636363636
2022-02-01,"regular","Tlajomulco de Zúñiga",20.7927272727273
2022-02-02,"regular","Tlajomulco de Zúñiga",20.7942424242424
2022-01-01,"diesel","Tlaquepaque",21.5029268292683
2022-01-02,"diesel","Tlaquepaque",21.5219512195122
2022-01-03,"diesel","Tlaquepaque",21.5219512195122
2022-01-04,"diesel","Tlaquepaque",21.5675609756098
2022-01-05,"diesel","Tlaquepaque",21.5809756097561
2022-01-06,"diesel","Tlaquepaque",21.5712195121951
2022-01-07,"diesel","Tlaquepaque",21.5631707317073
2022-01-08,"diesel","Tlaquepaque",21.5985365853659
2022-01-09,"diesel","Tlaquepaque",21.6253658536585
2022-01-10,"diesel","Tlaquepaque",21.6253658536585
2022-01-11,"diesel","Tlaquepaque",21.6253658536585
2022-01-12,"diesel","Tlaquepaque",21.6919512195122
2022-01-13,"diesel","Tlaquepaque",21.6775609756098
2022-01-14,"diesel","Tlaquepaque",21.6863414634146
2022-01-15,"diesel","Tlaquepaque",21.6856097560976
2022-01-16,"diesel","Tlaquepaque",21.6756097560976
2022-01-17,"diesel","Tlaquepaque",21.6756097560976
2022-01-18,"diesel","Tlaquepaque",21.6756097560976
2022-01-19,"diesel","Tlaquepaque",21.6943902439024
2022-01-20,"diesel","Tlaquepaque",21.7256097560976
2022-01-21,"diesel","Tlaquepaque",21.7353658536585
2022-01-22,"diesel","Tlaquepaque",21.740243902439
2022-01-23,"diesel","Tlaquepaque",21.7385365853659
2022-01-24,"diesel","Tlaquepaque",21.7385365853659
2022-01-25,"diesel","Tlaquepaque",21.7407317073171
2022-01-26,"diesel","Tlaquepaque",21.7407317073171
2022-01-27,"diesel","Tlaquepaque",21.7424390243902
2022-01-28,"diesel","Tlaquepaque",21.7412195121951
2022-01-29,"diesel","Tlaquepaque",21.7456097560976
2022-01-30,"diesel","Tlaquepaque",21.7648780487805
2022-01-31,"diesel","Tlaquepaque",21.769756097561
2022-02-01,"diesel","Tlaquepaque",21.769756097561
2022-02-02,"diesel","Tlaquepaque",21.7707317073171
2022-01-01,"premium","Tlaquepaque",23.0265454545455
2022-01-02,"premium","Tlaquepaque",23.0314545454545
2022-01-03,"premium","Tlaquepaque",23.0314545454545
2022-01-04,"premium","Tlaquepaque",23.0509090909091
2022-01-05,"premium","Tlaquepaque",23.0698181818182
2022-01-06,"premium","Tlaquepaque",23.0838181818182
2022-01-07,"premium","Tlaquepaque",23.0914545454545
2022-01-08,"premium","Tlaquepaque",23.1112727272727
2022-01-09,"premium","Tlaquepaque",23.1110909090909
2022-01-10,"premium","Tlaquepaque",23.1092727272727
2022-01-11,"premium","Tlaquepaque",23.1130909090909
2022-01-12,"premium","Tlaquepaque",23.1265454545455
2022-01-13,"premium","Tlaquepaque",23.1356363636364
2022-01-14,"premium","Tlaquepaque",23.1650909090909
