"sysdate","variable","value"
2020-10-16,"regular",18.9989302325581
2020-10-17,"regular",18.9676744186047
2020-10-18,"regular",18.9411860465116
2020-10-19,"regular",18.935023255814
2020-10-20,"regular",18.9361395348837
2020-10-21,"regular",18.8982790697674
2020-10-22,"regular",18.8630930232558
2020-10-23,"regular",18.8213255813953
2020-10-24,"regular",18.766976744186
2020-10-25,"regular",18.7252093023256
2020-10-26,"regular",18.7114651162791
2020-10-27,"regular",18.7096279069767
2020-10-28,"regular",18.6481860465116
2020-10-29,"regular",18.5647674418605
2020-10-30,"regular",18.5213255813953
2020-10-31,"regular",18.4588837209302
2020-11-01,"regular",18.3887674418605
2020-11-02,"regular",18.3794186046512
2020-11-03,"regular",18.3546046511628
2020-11-04,"regular",18.277488372093
2020-11-05,"regular",18.215023255814
2020-11-06,"regular",18.1740697674419
2020-11-07,"regular",18.1483488372093
2020-11-08,"regular",18.1163953488372
2020-11-09,"regular",18.1007674418605
2020-11-10,"regular",18.0975581395349
2020-11-11,"regular",18.0522093023256
2020-11-12,"regular",18.0293720930233
2020-11-13,"regular",18.0296744186046
2020-11-14,"regular",18.0201395348837
2020-11-15,"regular",18.0096511627907
2020-11-16,"regular",18.0039302325581
2020-11-17,"regular",18.001511627907
2020-11-18,"regular",17.991976744186
2020-11-19,"regular",17.9683953488372
2020-11-20,"regular",17.9502790697674
2020-11-21,"regular",17.9215813953488
2020-11-22,"regular",17.9112093023256
2020-11-23,"regular",17.9050930232558
2020-11-24,"regular",17.9033023255814
2020-11-25,"regular",17.8880930232558
2020-11-26,"regular",17.891
2020-11-27,"regular",17.9081860465116
2020-11-28,"regular",17.9480930232558
2020-11-29,"regular",17.9817209302326
