cve_ent,entidad,fecha,org,vivienda,creditos,monto,lcreditos,lmonto
1,Aguascalientes,01/10/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/10/2016,FOVISSSTE,Usada,56,32724029.6563,,
1,Aguascalientes,01/10/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/10/2016,INFONAVIT,Usada,469,128672181.1102,,
1,Aguascalientes,01/10/2016,ISSFAM,Usada,2,594750,,
1,Aguascalientes,01/10/2016,SHF,Usada,,,,
1,Aguascalientes,01/11/2016,BANCA,Nueva,28,17602590,,
1,Aguascalientes,01/11/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/11/2016,CFE,Nueva,,,,
1,Aguascalientes,01/11/2016,CONAVI,Nueva,23,1519137.8886,,
1,Aguascalientes,01/11/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/11/2016,FOVISSSTE,Nueva,16,9152967.9375,,
1,Aguascalientes,01/11/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/11/2016,INFONAVIT,Nueva,233,66932315.7708,,
1,Aguascalientes,01/11/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/11/2016,SHF,Nueva,,,,
1,Aguascalientes,01/11/2016,BANCA,Usada,163,134491783,,
1,Aguascalientes,01/11/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/11/2016,CFE,Usada,,,,
1,Aguascalientes,01/11/2016,CONAVI,Usada,179,10491766.0163,,
1,Aguascalientes,01/11/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/11/2016,FOVISSSTE,Usada,59,33244505.3516,,
1,Aguascalientes,01/11/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/11/2016,INFONAVIT,Usada,431,129543536.478,,
1,Aguascalientes,01/11/2016,ISSFAM,Usada,7,3814000,,
1,Aguascalientes,01/11/2016,SHF,Usada,,,,
1,Aguascalientes,01/12/2016,BANCA,Nueva,38,22818345,,
1,Aguascalientes,01/12/2016,BANJERCITO,Nueva,1,331790.9063,,
1,Aguascalientes,01/12/2016,CFE,Nueva,,,,
1,Aguascalientes,01/12/2016,CONAVI,Nueva,14,836177.0355,,
1,Aguascalientes,01/12/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/12/2016,FOVISSSTE,Nueva,16,10271455.0938,,
1,Aguascalientes,01/12/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/12/2016,INFONAVIT,Nueva,262,82640283.79809999,,
1,Aguascalientes,01/12/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/12/2016,SHF,Nueva,,,,
1,Aguascalientes,01/12/2016,BANCA,Usada,191,152772637,,
1,Aguascalientes,01/12/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/12/2016,CFE,Usada,,,,
1,Aguascalientes,01/12/2016,CONAVI,Usada,74,4565962.8279,,
1,Aguascalientes,01/12/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/12/2016,FOVISSSTE,Usada,78,42050869.3439,,
1,Aguascalientes,01/12/2016,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/12/2016,INFONAVIT,Usada,297,98295198.50309999,,
1,Aguascalientes,01/12/2016,ISSFAM,Usada,3,1244500,,
1,Aguascalientes,01/12/2016,SHF,Usada,,,,
1,Aguascalientes,01/01/2017,BANCA,Nueva,,,17,14845393
1,Aguascalientes,01/01/2017,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/01/2017,CFE,Nueva,3,2443014,,
1,Aguascalientes,01/01/2017,CONAVI,Nueva,,,,
1,Aguascalientes,01/01/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/01/2017,FOVISSSTE,Nueva,2,1719116.75,7,4071579
1,Aguascalientes,01/01/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/01/2017,INFONAVIT,Nueva,116,35032114.1298,86,25629812
1,Aguascalientes,01/01/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/01/2017,SHF,Nueva,,,,
1,Aguascalientes,01/01/2017,BANCA,Usada,,,117,88317720
1,Aguascalientes,01/01/2017,BANJERCITO,Usada,1,989010,,
1,Aguascalientes,01/01/2017,CFE,Usada,1,876272,1,728312
1,Aguascalientes,01/01/2017,CONAVI,Usada,,,24,1235277.9
1,Aguascalientes,01/01/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/01/2017,FOVISSSTE,Usada,28,18221342.7188,23,13525243
1,Aguascalientes,01/01/2017,HABITATMEXICO,Usada,,,6,176398.81
1,Aguascalientes,01/01/2017,INFONAVIT,Usada,249,75386016.97759999,157,44587904
1,Aguascalientes,01/01/2017,ISSFAM,Usada,,,,
1,Aguascalientes,01/01/2017,SHF,Usada,,,,
1,Aguascalientes,01/02/2017,BANCA,Nueva,,,24,20177910
1,Aguascalientes,01/02/2017,BANJERCITO,Nueva,,,1,384708.5
1,Aguascalientes,01/02/2017,CFE,Nueva,3,2759670.625,2,1517782
1,Aguascalientes,01/02/2017,CONAVI,Nueva,,,17,1091142.8
1,Aguascalientes,01/02/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/02/2017,FOVISSSTE,Nueva,23,13268651.9689,14,9077585
1,Aguascalientes,01/02/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/02/2017,INFONAVIT,Nueva,172,55982292.0833,148,43992116
1,Aguascalientes,01/02/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/02/2017,SHF,Nueva,,,,
1,Aguascalientes,01/02/2017,BANCA,Usada,,,176,132316776
1,Aguascalientes,01/02/2017,BANJERCITO,Usada,,,1,258345.73
1,Aguascalientes,01/02/2017,CFE,Usada,,,,
1,Aguascalientes,01/02/2017,CONAVI,Usada,301,18422089.7238,339,20645924
1,Aguascalientes,01/02/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/02/2017,FOVISSSTE,Usada,56,32845101.6096,78,39701552
1,Aguascalientes,01/02/2017,HABITATMEXICO,Usada,,,2,58799.602
1,Aguascalientes,01/02/2017,INFONAVIT,Usada,579,169196493.4071,503,135355280
1,Aguascalientes,01/02/2017,ISSFAM,Usada,1,740000,,
1,Aguascalientes,01/02/2017,SHF,Usada,,,,
1,Aguascalientes,01/03/2017,BANCA,Nueva,,,28,15377917
1,Aguascalientes,01/03/2017,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/03/2017,CFE,Nueva,1,814338,,
1,Aguascalientes,01/03/2017,CONAVI,Nueva,6,329279.5566,13,793008.13
1,Aguascalientes,01/03/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/03/2017,FOVISSSTE,Nueva,14,7768502.5001,23,13516371
1,Aguascalientes,01/03/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/03/2017,INFONAVIT,Nueva,202,64577680.7785,217,62547964
1,Aguascalientes,01/03/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/03/2017,SHF,Nueva,,,,
1,Aguascalientes,01/03/2017,BANCA,Usada,,,160,128424096
1,Aguascalientes,01/03/2017,BANJERCITO,Usada,,,1,385516.38
1,Aguascalientes,01/03/2017,CFE,Usada,2,1628676,,
1,Aguascalientes,01/03/2017,CONAVI,Usada,80,3663396.8339,262,16217819
1,Aguascalientes,01/03/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/03/2017,FOVISSSTE,Usada,56,33902195.0315,91,49157580
1,Aguascalientes,01/03/2017,HABITATMEXICO,Usada,,,11,323397.81
1,Aguascalientes,01/03/2017,INFONAVIT,Usada,427,126075791.6223,442,126296904
1,Aguascalientes,01/03/2017,ISSFAM,Usada,,,0,303625
1,Aguascalientes,01/03/2017,SHF,Usada,,,,
1,Aguascalientes,01/04/2017,BANCA,Nueva,,,34,19704860
1,Aguascalientes,01/04/2017,BANJERCITO,Nueva,2,828459.6563,,
1,Aguascalientes,01/04/2017,CFE,Nueva,3,2504948,,
1,Aguascalientes,01/04/2017,CONAVI,Nueva,10,633330.416,8,539129.19
1,Aguascalientes,01/04/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/04/2017,FOVISSSTE,Nueva,13,7347225.2969,31,17920702
1,Aguascalientes,01/04/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/04/2017,INFONAVIT,Nueva,163,51766740.2822,172,52310680
1,Aguascalientes,01/04/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/04/2017,SHF,Nueva,,,,
1,Aguascalientes,01/04/2017,BANCA,Usada,,,173,153441584
1,Aguascalientes,01/04/2017,BANJERCITO,Usada,,,,
1,Aguascalientes,01/04/2017,CFE,Usada,1,876272,,
1,Aguascalientes,01/04/2017,CONAVI,Usada,132,6558471.5467,290,17538676
1,Aguascalientes,01/04/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/04/2017,FOVISSSTE,Usada,49,29456943.4533,70,40821300
1,Aguascalientes,01/04/2017,HABITATMEXICO,Usada,,,1,29399.801
1,Aguascalientes,01/04/2017,INFONAVIT,Usada,292,87609627.2006,446,125544288
1,Aguascalientes,01/04/2017,ISSFAM,Usada,3,1510000,3,1387750
1,Aguascalientes,01/04/2017,SHF,Usada,,,,
1,Aguascalientes,01/05/2017,BANCA,Nueva,,,25,16410226
1,Aguascalientes,01/05/2017,BANJERCITO,Nueva,1,602000,1,460637.44
1,Aguascalientes,01/05/2017,CFE,Nueva,,,,
1,Aguascalientes,01/05/2017,CONAVI,Nueva,12,694493.5214,12,824517.19
1,Aguascalientes,01/05/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/05/2017,FOVISSSTE,Nueva,43,29613647.5314,40,21947734
1,Aguascalientes,01/05/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/05/2017,INFONAVIT,Nueva,213,74860570.77069999,220,68811160
1,Aguascalientes,01/05/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/05/2017,SHF,Nueva,,,,
1,Aguascalientes,01/05/2017,BANCA,Usada,,,207,156866768
1,Aguascalientes,01/05/2017,BANJERCITO,Usada,,,1,327265.5
1,Aguascalientes,01/05/2017,CFE,Usada,,,,
1,Aguascalientes,01/05/2017,CONAVI,Usada,260,14389058.3316,178,10904307
1,Aguascalientes,01/05/2017,FONHAPO,Usada,,,,
1,Aguascalientes,01/05/2017,FOVISSSTE,Usada,77,56927916.969,102,54837696
1,Aguascalientes,01/05/2017,HABITATMEXICO,Usada,,,,
1,Aguascalientes,01/05/2017,INFONAVIT,Usada,619,188274731.2156,361,100720752
1,Aguascalientes,01/05/2017,ISSFAM,Usada,4,1855000,,
1,Aguascalientes,01/05/2017,SHF,Usada,,,,
1,Aguascalientes,01/06/2017,BANCA,Nueva,57,42620240,47,32702824
1,Aguascalientes,01/06/2017,BANJERCITO,Nueva,3,1164963.6563,,
1,Aguascalientes,01/06/2017,CFE,Nueva,3,2379930,,
1,Aguascalientes,01/06/2017,CONAVI,Nueva,36,2093322.537,29,1780652.6
1,Aguascalientes,01/06/2017,FONHAPO,Nueva,,,,
1,Aguascalientes,01/06/2017,FOVISSSTE,Nueva,34,25518230.0938,18,9670854
1,Aguascalientes,01/06/2017,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/06/2017,INFONAVIT,Nueva,227,78219802.9945,254,75213832
1,Aguascalientes,01/06/2017,ISSFAM,Nueva,,,,
1,Aguascalientes,01/06/2017,SHF,Nueva,,,,
1,Aguascalientes,01/06/2017,BANCA,Usada,125,110210227,167,134658672
